BARCODE,PRODUCT SKU,PRODUCT NAME,COLOR,SIZE,SKU FAMILY,NICK NAME,SKU PICKLIST,PRODUCT FULL NAME,PRODUCT SHORT NAME,"NAME, COLOR, SIZE","NAME, COLOR","NAME, SIZE",SKU LEN,LOCATION,CATEGORY
720,LNT 3.01.00-S/M,Laana Top,Black,S/M,LNT,Laana,LNT 3.01.00S/M,Laana Top Black - SIZE: S/M,Laana Top Black - SIZE: S/M,Laana / Black - S/M,Laana / Black,Laana - S/M,14,,
721,LNT 3.01.00-L/XL,Laana Top,Black,L/XL,LNT,Laana,LNT 3.01.00L/XL,Laana Top Black - SIZE: L/XL,Laana Top Black - SIZE: L/XL,Laana / Black - L/XL,Laana / Black,Laana - L/XL,15,,
722,LNT 3.03.00-S/M,Laana Top,Maroon,S/M,LNT,Laana,LNT 3.03.00S/M,Laana Top Maroon - SIZE: S/M,Laana Top Maroon - SIZE: S/M,Laana / Maroon - S/M,Laana / Maroon,Laana - S/M,14,,
723,LNT 3.03.00-L/XL,Laana Top,Maroon,L/XL,LNT,Laana,LNT 3.03.00L/XL,Laana Top Maroon - SIZE: L/XL,Laana Top Maroon - SIZE: L/XL,Laana / Maroon - L/XL,Laana / Maroon,Laana - L/XL,15,,
724,LNT 3.04.00-S/M,Laana Top,Blue,S/M,LNT,Laana,LNT 3.04.00S/M,Laana Top Blue - SIZE: S/M,Laana Top Blue - SIZE: S/M,Laana / Blue - S/M,Laana / Blue,Laana - S/M,14,,
725,LNT 3.04.00-L/XL,Laana Top,Blue,L/XL,LNT,Laana,LNT 3.04.00L/XL,Laana Top Blue - SIZE: L/XL,Laana Top Blue - SIZE: L/XL,Laana / Blue - L/XL,Laana / Blue,Laana - L/XL,15,,
726,LNT 3.09.00-S/M,Laana Top,Brown,S/M,LNT,Laana,LNT 3.09.00S/M,Laana Top Brown - SIZE: S/M,Laana Top Brown - SIZE: S/M,Laana / Brown - S/M,Laana / Brown,Laana - S/M,14,,
727,LNT 3.09.00-L/XL,Laana Top,Brown,L/XL,LNT,Laana,LNT 3.09.00L/XL,Laana Top Brown - SIZE: L/XL,Laana Top Brown - SIZE: L/XL,Laana / Brown - L/XL,Laana / Brown,Laana - L/XL,15,,
728,LNT 3.11.00-S/M,Laana Top,Peach,S/M,LNT,Laana,LNT 3.11.00S/M,Laana Top Peach - SIZE: S/M,Laana Top Peach - SIZE: S/M,Laana / Peach - S/M,Laana / Peach,Laana - S/M,14,,
729,LNT 3.11.00-L/XL,Laana Top,Peach,L/XL,LNT,Laana,LNT 3.11.00L/XL,Laana Top Peach - SIZE: L/XL,Laana Top Peach - SIZE: L/XL,Laana / Peach - L/XL,Laana / Peach,Laana - L/XL,15,,
1062,BGR 1.04.00-M,Gulinear Kurung Riau,Dark Blue,M,BGR,Gulinear,BGR 1.04.00M,Gulinear Kurung Riau Dark Blue - SIZE: M,Gulinear Kurung Riau Dark Blue - SIZE: M,Gulinear / Dark Blue - M,Gulinear / Dark Blue,Gulinear - M,12,,
1063,BGR 1.04.00-L,Gulinear Kurung Riau,Dark Blue,L,BGR,Gulinear,BGR 1.04.00L,Gulinear Kurung Riau Dark Blue - SIZE: L,Gulinear Kurung Riau Dark Blue - SIZE: L,Gulinear / Dark Blue - L,Gulinear / Dark Blue,Gulinear - L,12,,
1064,BGR 1.04.00-XL,Gulinear Kurung Riau,Dark Blue,XL,BGR,Gulinear,BGR 1.04.00XL,Gulinear Kurung Riau Dark Blue - SIZE: XL,Gulinear Kurung Riau Dark Blue - SIZE: XL,Gulinear / Dark Blue - XL,Gulinear / Dark Blue,Gulinear - XL,13,,
1065,BGR 1.04.00-XS,Gulinear Kurung Riau,Dark Blue,XS,BGR,Gulinear,BGR 1.04.00XS,Gulinear Kurung Riau Dark Blue - SIZE: XS,Gulinear Kurung Riau Dark Blue - SIZE: XS,Gulinear / Dark Blue - XS,Gulinear / Dark Blue,Gulinear - XS,13,,
1066,BGR 1.04.00-XXL,Gulinear Kurung Riau,Dark Blue,XXL,BGR,Gulinear,BGR 1.04.00XXL,Gulinear Kurung Riau Dark Blue - SIZE: XXL,Gulinear Kurung Riau Dark Blue - SIZE: XXL,Gulinear / Dark Blue - XXL,Gulinear / Dark Blue,Gulinear - XXL,14,,
1067,BGR 1.04.00-S,Gulinear Kurung Riau,Dark Blue,S,BGR,Gulinear,BGR 1.04.00S,Gulinear Kurung Riau Dark Blue - SIZE: S,Gulinear Kurung Riau Dark Blue - SIZE: S,Gulinear / Dark Blue - S,Gulinear / Dark Blue,Gulinear - S,12,,
1068,BGR 1.04.00-3XL,Gulinear Kurung Riau,Dark Blue,3XL,BGR,Gulinear,BGR 1.04.003XL,Gulinear Kurung Riau Dark Blue - SIZE: 3XL,Gulinear Kurung Riau Dark Blue - SIZE: 3XL,Gulinear / Dark Blue - 3XL,Gulinear / Dark Blue,Gulinear - 3XL,14,,
1069,BGR 1.04.00-4XL,Gulinear Kurung Riau,Dark Blue,4XL,BGR,Gulinear,BGR 1.04.004XL,Gulinear Kurung Riau Dark Blue - SIZE: 4XL,Gulinear Kurung Riau Dark Blue - SIZE: 4XL,Gulinear / Dark Blue - 4XL,Gulinear / Dark Blue,Gulinear - 4XL,14,,
1070,BGR 1.07.00-M,Gulinear Kurung Riau,Dusty Pink,M,BGR,Gulinear,BGR 1.07.00M,Gulinear Kurung Riau Dusty Pink - SIZE: M,Gulinear Kurung Riau Dusty Pink - SIZE: M,Gulinear / Dusty Pink - M,Gulinear / Dusty Pink,Gulinear - M,12,,
