BARCODE,PRODUCT SKU,PRODUCT NAME,COLOR,SIZE,SKU FAMILY,NICK NAME,SKU PICKLIST,PRODUCT FULL NAME,PRODUCT SHORT NAME,"NAME, COLOR, SIZE","NAME, COLOR","NAME, SIZE",SKU LEN,LOCATION,CATEGORY
16591,INB010120511-XS,Azalea Kurung Pahang,Moss Green,XS,INB01012,Azalea,INB010120511XS,Azalea Kurung Pahang Moss Green - SIZE: XS,Azalea Kurung Moss Green - SIZE: XS,Azalea / Moss Green - XS,Azalea / Moss Green,Azalea - XS,14,,
16592,INB010120511-S,Azalea Kurung Pahang,Moss Green,S,INB01012,Azalea,INB010120511S,Azalea Kurung Pahang Moss Green - SIZE: S,Azalea Kurung Moss Green - SIZE: S,Azalea / Moss Green - S,Azalea / Moss Green,Azalea - S,13,,
16593,INB010120511-M,Azalea Kurung Pahang,Moss Green,M,INB01012,Azalea,INB010120511M,Azalea Kurung Pahang Moss Green - SIZE: M,Azalea Kurung Moss Green - SIZE: M,Azalea / Moss Green - M,Azalea / Moss Green,Azalea - M,13,,
16594,INB010120511-L,Azalea Kurung Pahang,Moss Green,L,INB01012,Azalea,INB010120511L,Azalea Kurung Pahang Moss Green - SIZE: L,Azalea Kurung Moss Green - SIZE: L,Azalea / Moss Green - L,Azalea / Moss Green,Azalea - L,13,,
16595,INB010120511-XL,Azalea Kurung Pahang,Moss Green,XL,INB01012,Azalea,INB010120511XL,Azalea Kurung Pahang Moss Green - SIZE: XL,Azalea Kurung Moss Green - SIZE: XL,Azalea / Moss Green - XL,Azalea / Moss Green,Azalea - XL,14,,
16596,INB010120511-XXL,Azalea Kurung Pahang,Moss Green,XXL,INB01012,Azalea,INB010120511XXL,Azalea Kurung Pahang Moss Green - SIZE: XXL,Azalea Kurung Moss Green - SIZE: XXL,Azalea / Moss Green - XXL,Azalea / Moss Green,Azalea - XXL,15,,
16597,INB010120511-3XL,Azalea Kurung Pahang,Moss Green,3XL,INB01012,Azalea,INB0101205113XL,Azalea Kurung Pahang Moss Green - SIZE: 3XL,Azalea Kurung Moss Green - SIZE: 3XL,Azalea / Moss Green - 3XL,Azalea / Moss Green,Azalea - 3XL,15,,
16598,INB010120511-4XL,Azalea Kurung Pahang,Moss Green,4XL,INB01012,Azalea,INB0101205114XL,Azalea Kurung Pahang Moss Green - SIZE: 4XL,Azalea Kurung Moss Green - SIZE: 4XL,Azalea / Moss Green - 4XL,Azalea / Moss Green,Azalea - 4XL,15,,
16627,INH020060524-XS,Kamelia Kebaya Modern,Emerald Green,XS,INH02006,Kamelia,INH020060524XS,Kamelia Kebaya Modern Emerald Green - SIZE: XS,Kamelia Kebaya Emerald Green - SIZE: XS,Kamelia / Emerald Green - XS,Kamelia / Emerald Green,Kamelia - XS,14,,
16628,INH020060524-S,Kamelia Kebaya Modern,Emerald Green,S,INH02006,Kamelia,INH020060524S,Kamelia Kebaya Modern Emerald Green - SIZE: S,Kamelia Kebaya Emerald Green - SIZE: S,Kamelia / Emerald Green - S,Kamelia / Emerald Green,Kamelia - S,13,,
16629,INH020060524-M,Kamelia Kebaya Modern,Emerald Green,M,INH02006,Kamelia,INH020060524M,Kamelia Kebaya Modern Emerald Green - SIZE: M,Kamelia Kebaya Emerald Green - SIZE: M,Kamelia / Emerald Green - M,Kamelia / Emerald Green,Kamelia - M,13,,
16630,INH020060524-L,Kamelia Kebaya Modern,Emerald Green,L,INH02006,Kamelia,INH020060524L,Kamelia Kebaya Modern Emerald Green - SIZE: L,Kamelia Kebaya Emerald Green - SIZE: L,Kamelia / Emerald Green - L,Kamelia / Emerald Green,Kamelia - L,13,,
16631,INH020060524-XL,Kamelia Kebaya Modern,Emerald Green,XL,INH02006,Kamelia,INH020060524XL,Kamelia Kebaya Modern Emerald Green - SIZE: XL,Kamelia Kebaya Emerald Green - SIZE: XL,Kamelia / Emerald Green - XL,Kamelia / Emerald Green,Kamelia - XL,14,,
16632,INH020060524-XXL,Kamelia Kebaya Modern,Emerald Green,XXL,INH02006,Kamelia,INH020060524XXL,Kamelia Kebaya Modern Emerald Green - SIZE: XXL,Kamelia Kebaya Emerald Green - SIZE: XXL,Kamelia / Emerald Green - XXL,Kamelia / Emerald Green,Kamelia - XXL,15,,
16633,INH020060524-3XL,Kamelia Kebaya Modern,Emerald Green,3XL,INH02006,Kamelia,INH0200605243XL,Kamelia Kebaya Modern Emerald Green - SIZE: 3XL,Kamelia Kebaya Emerald Green - SIZE: 3XL,Kamelia / Emerald Green - 3XL,Kamelia / Emerald Green,Kamelia - 3XL,15,,
16634,INH020060524-4XL,Kamelia Kebaya Modern,Emerald Green,4XL,INH02006,Kamelia,INH0200605244XL,Kamelia Kebaya Modern Emerald Green - SIZE: 4XL,Kamelia Kebaya Emerald Green - SIZE: 4XL,Kamelia / Emerald Green - 4XL,Kamelia / Emerald Green,Kamelia - 4XL,15,,
16635,INH020060915-XS,Kamelia Kebaya Modern,Rich Brown,XS,INH02006,Kamelia,INH020060915XS,Kamelia Kebaya Modern Rich Brown - SIZE: XS,Kamelia Kebaya Rich Brown - SIZE: XS,Kamelia / Rich Brown - XS,Kamelia / Rich Brown,Kamelia - XS,14,,
16636,INH020060915-S,Kamelia Kebaya Modern,Rich Brown,S,INH02006,Kamelia,INH020060915S,Kamelia Kebaya Modern Rich Brown - SIZE: S,Kamelia Kebaya Rich Brown - SIZE: S,Kamelia / Rich Brown - S,Kamelia / Rich Brown,Kamelia - S,13,,
16637,INH020060915-M,Kamelia Kebaya Modern,Rich Brown,M,INH02006,Kamelia,INH020060915M,Kamelia Kebaya Modern Rich Brown - SIZE: M,Kamelia Kebaya Rich Brown - SIZE: M,Kamelia / Rich Brown - M,Kamelia / Rich Brown,Kamelia - M,13,,
16638,INH020060915-L,Kamelia Kebaya Modern,Rich Brown,L,INH02006,Kamelia,INH020060915L,Kamelia Kebaya Modern Rich Brown - SIZE: L,Kamelia Kebaya Rich Brown - SIZE: L,Kamelia / Rich Brown - L,Kamelia / Rich Brown,Kamelia - L,13,,
16639,INH020060915-XL,Kamelia Kebaya Modern,Rich Brown,XL,INH02006,Kamelia,INH020060915XL,Kamelia Kebaya Modern Rich Brown - SIZE: XL,Kamelia Kebaya Rich Brown - SIZE: XL,Kamelia / Rich Brown - XL,Kamelia / Rich Brown,Kamelia - XL,14,,
16640,INH020060915-XXL,Kamelia Kebaya Modern,Rich Brown,XXL,INH02006,Kamelia,INH020060915XXL,Kamelia Kebaya Modern Rich Brown - SIZE: XXL,Kamelia Kebaya Rich Brown - SIZE: XXL,Kamelia / Rich Brown - XXL,Kamelia / Rich Brown,Kamelia - XXL,15,,
16641,INH020060915-3XL,Kamelia Kebaya Modern,Rich Brown,3XL,INH02006,Kamelia,INH0200609153XL,Kamelia Kebaya Modern Rich Brown - SIZE: 3XL,Kamelia Kebaya Rich Brown - SIZE: 3XL,Kamelia / Rich Brown - 3XL,Kamelia / Rich Brown,Kamelia - 3XL,15,,
16642,INH020060915-4XL,Kamelia Kebaya Modern,Rich Brown,4XL,INH02006,Kamelia,INH0200609154XL,Kamelia Kebaya Modern Rich Brown - SIZE: 4XL,Kamelia Kebaya Rich Brown - SIZE: 4XL,Kamelia / Rich Brown - 4XL,Kamelia / Rich Brown,Kamelia - 4XL,15,,
